ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-09-25T12:45:00,1506357900,150.485,150.53,150.6,150.37,150.576,263132,150.52129,142.57055,144456
AAPL,2017-09-25T12:40:00,1506357600,150.49810000000002,150.39,150.6562,150.34,150.535,425276,150.50325,142.57,686974
AAPL,2017-09-25T12:35:00,1506357300,150.325,150.24,150.43,150.22,150.4,211542,150.34836,142.49,658791
AAPL,2017-09-25T12:30:00,1506357000,150.26,150.29,150.35,150.17,150.25,249854,150.25885,142.45999999999998,1151225
AAPL,2017-09-25T12:25:00,1506356700,150.17000000000002,150.055,150.34,150.0,150.31,334477,150.17041,142.37,906387
AAPL,2017-09-25T12:20:00,1506356400,150.0703,150.085,150.2186,149.922,150.055,638327,150.01253,142.25,330721
AAPL,2017-09-25T12:15:00,1506356100,150.195,150.28,150.34,150.05,150.0816,363188,150.21913,142.26,575837
AAPL,2017-09-25T12:10:00,1506355800,150.3682,150.3301,150.4864,150.25,150.27,310692,150.39253,142.33345,625980
AAPL,2017-09-25T12:05:00,1506355500,150.34,150.46,150.46,150.22,150.3499,243380,150.33559,142.4222,145883
AAPL,2017-09-25T12:00:00,1506355200,150.485,150.48,150.58,150.39,150.46,342367,150.50207,142.53,297466
AAPL,2017-09-25T11:55:00,1506354900,150.32505,150.15,150.55,150.1001,150.48,312527,150.34481,142.55,409775
AAPL,2017-09-25T11:50:00,1506354600,150.20499999999998,150.23,150.31,150.1,150.16,273163,150.20832,142.5725,214151
AAPL,2017-09-25T11:45:00,1506354300,150.08499999999998,150.05,150.25,149.92,150.2366,459979,150.04082,142.56995,343765
AAPL,2017-09-25T11:40:00,1506354000,150.24450000000002,150.3553,150.449,150.04,150.0442,273851,150.2358,142.6473,365653
AAPL,2017-09-25T11:35:00,1506353700,150.44,150.36,150.56,150.32,150.35,277737,150.44622,142.785,557071
AAPL,2017-09-25T11:30:00,1506353400,150.42000000000002,150.45,150.54,150.3,150.35,287623,150.44551,142.805,147319
AAPL,2017-09-25T11:25:00,1506353100,150.465,150.35,150.58,150.35,150.44,366277,150.48707,142.85,273219
AAPL,2017-09-25T11:20:00,1506352800,150.3025,150.4,150.465,150.14,150.3599,322323,150.34144,142.70499999999998,353599
AAPL,2017-09-25T11:15:00,1506352500,150.32659999999998,150.33,150.4232,150.23,150.4,337136,150.32095,142.70999999999998,392722
AAPL,2017-09-25T11:10:00,1506352200,150.38150000000002,150.27,150.513,150.25,150.333,508130,150.39441,142.625,665451
AAPL,2017-09-25T11:05:00,1506351900,150.12,149.9667,150.33,149.91,150.28,600310,150.15203,142.51,618477
AAPL,2017-09-25T11:00:00,1506351600,149.9275,150.07,150.165,149.69,149.9597,655191,149.91473,142.51,1578019
AAPL,2017-09-25T10:55:00,1506351300,150.15,150.1,150.3,150.0,150.0535,434199,150.15361,142.63,629639
AAPL,2017-09-25T10:50:00,1506351000,150.115,150.2786,150.28,149.95,150.1009,504150,150.07723,142.745,1357574
AAPL,2017-09-25T10:45:00,1506350700,150.17000000000002,150.43,150.44,149.9,150.2611,788728,150.12868,142.89,681957
AAPL,2017-09-25T10:40:00,1506350400,150.31,150.25,150.49,150.13,150.44,502139,150.33991,142.94,905904
AAPL,2017-09-25T10:35:00,1506350100,150.42000000000002,150.61,150.63,150.21,150.26,538355,150.40293,142.965,1083404
